127.0.0.1 - - [22/Nov/2016:09:20:35 +0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:37 +0600] "GET /myBlog/ HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:38 +0600] "GET /myBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:38 +0600] "GET /myBlog/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:38 +0600] "GET /myBlog/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:47 +0600] "GET /myBlog/ HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:48 +0600] "GET /myBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:48 +0600] "GET /myBlog/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:48 +0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:51 +0600] "POST /myBlog/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:52 +0600] "GET /myBlog/Blog/index.jsp HTTP/1.1" 200 5394
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:52 +0600] "GET /myBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:57 +0600] "GET /myBlog/Blog/about.jsp HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:20:59 +0600] "GET /myBlog/Blog/contact.jsp HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:21:07 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:21:07 +0600] "GET /myBlog/imgFolder/1433899163_myGirl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:21:07 +0600] "GET /myBlog/imgFolder/856569422_440x330-nokia-lumia-900-horizontal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:21:07 +0600] "GET /myBlog/imgFolder/1326733071_294435_455447801145360_389046189_n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:21:07 +0600] "GET /myBlog/imgFolder/248700938_baby.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:33:58 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:34:50 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:35:48 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:36:32 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5037
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:38:09 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:39:30 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:40:08 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:41:00 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:41:29 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5178
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:41:43 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5178
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:52:02 +0600] "GET /myBlog/Blog/contact.jsp HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [22/Nov/2016:09:52:07 +0600] "GET /myBlog/Blog/admin/dashboard.jsp HTTP/1.1" 200 5275
